"filename", "language", "C#", "XML", "JSON", "Markdown", "Log", "comment", "blank", "total"
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\DocSyncWpf.designer.runtimeconfig.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\MainWindow.g.cs", "C#", 221, 0, 0, 0, 0, 15, 77, 313
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\MainWindow.g.i.cs", "C#", 221, 0, 0, 0, 0, 15, 77, 313
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\PasswordResetWindow.g.cs", "C#", 117, 0, 0, 0, 0, 15, 37, 169
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\PasswordResetWindow.g.i.cs", "C#", 117, 0, 0, 0, 0, 15, 37, 169
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\ThinkVoipPortal.designer.deps.json", "JSON", 0, 0, 712, 0, 0, 0, 0, 712
"f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\ThinkVoipPortal.designer.runtimeconfig.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"f:\Repos\DocSyncWpf - Async\obj\DocSyncWpf.csproj.nuget.dgspec.json", "JSON", 0, 0, 91, 0, 0, 0, 0, 91
"f:\Repos\DocSyncWpf - Async\obj\DocSyncWpf.csproj.nuget.g.props", "XML", 0, 21, 0, 0, 0, 0, 0, 21
"f:\Repos\DocSyncWpf - Async\obj\DocSyncWpf.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\AddPhoneToExtWindow.g.cs", "C#", 105, 0, 0, 0, 0, 15, 32, 152
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\AddPhoneToExtWindow.g.i.cs", "C#", 105, 0, 0, 0, 0, 15, 32, 152
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\App.g.cs", "C#", 53, 0, 0, 0, 0, 18, 14, 85
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\App.g.i.cs", "C#", 53, 0, 0, 0, 0, 18, 14, 85
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\DocSyncWpf.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 10, 5, 24
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\DocSyncWpf.designer.deps.json", "JSON", 0, 0, 712, 0, 0, 0, 0, 712
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\DocSyncWpf.designer.runtimeconfig.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 16
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\MainWindow.g.cs", "C#", 215, 0, 0, 0, 0, 15, 75, 305
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\MainWindow.g.i.cs", "C#", 215, 0, 0, 0, 0, 15, 75, 305
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\AddPhoneToExtWindow.g.cs", "C#", 105, 0, 0, 0, 0, 14, 32, 151
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\App.g.cs", "C#", 53, 0, 0, 0, 0, 17, 14, 84
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\DocSyncWpf.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 9, 5, 23
"f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\MainWindow.g.cs", "C#", 215, 0, 0, 0, 0, 14, 75, 304
"f:\Repos\DocSyncWpf - Async\obj\project.assets.json", "JSON", 0, 0, 2741, 0, 0, 0, 0, 2741
"Total", "-", 5112, 274, 8472, 3, 25, 1684, 1234, 16804
