Date : 2020-12-21 20:59:09
Directory : f:\Repos\DocSyncWpf - Async
Total : 70 files,  13886 codes, 1684 comments, 1234 blanks, all 16804 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\DocSyncWpf.designer.runtimeconfig.json                   | JSON     |         16 |          0 |          0 |         16 |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\MainWindow.g.cs                                          | C#       |        221 |         15 |         77 |        313 |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\MainWindow.g.i.cs                                        | C#       |        221 |         15 |         77 |        313 |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\PasswordResetWindow.g.cs                                 | C#       |        117 |         15 |         37 |        169 |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\PasswordResetWindow.g.i.cs                               | C#       |        117 |         15 |         37 |        169 |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\ThinkVoipPortal.designer.deps.json                       | JSON     |        712 |          0 |          0 |        712 |
| f:\Repos\DocSyncWpf - Async\obj\Debug\netcoreapp3.1\ThinkVoipPortal.designer.runtimeconfig.json              | JSON     |         16 |          0 |          0 |         16 |
| f:\Repos\DocSyncWpf - Async\obj\DocSyncWpf.csproj.nuget.dgspec.json                                          | JSON     |         91 |          0 |          0 |         91 |
| f:\Repos\DocSyncWpf - Async\obj\DocSyncWpf.csproj.nuget.g.props                                              | XML      |         21 |          0 |          0 |         21 |
| f:\Repos\DocSyncWpf - Async\obj\DocSyncWpf.csproj.nuget.g.targets                                            | XML      |          6 |          0 |          0 |          6 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs         | C#       |          3 |          1 |          1 |          5 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\AddPhoneToExtWindow.g.cs                               | C#       |        105 |         15 |         32 |        152 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\AddPhoneToExtWindow.g.i.cs                             | C#       |        105 |         15 |         32 |        152 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\App.g.cs                                               | C#       |         53 |         18 |         14 |         85 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\App.g.i.cs                                             | C#       |         53 |         18 |         14 |         85 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\DocSyncWpf.AssemblyInfo.cs                             | C#       |          9 |         10 |          5 |         24 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\DocSyncWpf.designer.deps.json                          | JSON     |        712 |          0 |          0 |        712 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\DocSyncWpf.designer.runtimeconfig.json                 | JSON     |         16 |          0 |          0 |         16 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\MainWindow.g.cs                                        | C#       |        215 |         15 |         75 |        305 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\MainWindow.g.i.cs                                      | C#       |        215 |         15 |         75 |        305 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs | C#       |          3 |          1 |          1 |          5 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\AddPhoneToExtWindow.g.cs                       | C#       |        105 |         14 |         32 |        151 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\App.g.cs                                       | C#       |         53 |         17 |         14 |         84 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\DocSyncWpf.AssemblyInfo.cs                     | C#       |          9 |          9 |          5 |         23 |
| f:\Repos\DocSyncWpf - Async\obj\Release\netcoreapp3.1\win-x64\MainWindow.g.cs                                | C#       |        215 |         14 |         75 |        304 |
| f:\Repos\DocSyncWpf - Async\obj\project.assets.json                                                          | JSON     |      2,741 |          0 |          0 |      2,741 |
| Total                                                                                                        |          |     13,886 |      1,684 |      1,234 |     16,804 |
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
